date,continent,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential
29/03/2020,EU,-81.0,-45.0,-49.0,-69.0,-46.0,14.0
29/03/2020,OC,-90.5,-51.5,-77.0,-60.5,-49.5,14.0
30/03/2020,AF,-39.0,-24.0,-27.0,-43.0,-32.0,16.0
30/03/2020,AM_N,-33.0,-13.0,-12.0,-27.0,-35.0,16.0
30/03/2020,AM_S,-65.0,-40.0,-62.0,-67.0,-49.0,23.0
30/03/2020,AS,-34.5,-18.0,-28.0,-37.0,-28.0,13.0
30/03/2020,EU,-69.0,-31.0,-34.0,-63.0,-54.5,22.0
30/03/2020,OC,-87.0,-40.0,-66.0,-66.0,-62.5,18.0
31/03/2020,AF,-39.0,-26.0,-27.0,-43.5,-33.0,17.0
31/03/2020,AM_N,-35.0,-12.0,-12.0,-25.0,-38.0,17.0
31/03/2020,AM_S,-65.0,-38.0,-61.5,-67.0,-50.0,22.5
31/03/2020,AS,-34.0,-16.0,-25.0,-36.0,-28.0,12.0
31/03/2020,EU,-70.0,-28.0,-27.5,-62.0,-54.0,23.0
31/03/2020,OC,-85.5,-36.5,-64.5,-71.5,-62.5,21.0
